id,name,first_release_date,genres,platforms,rating,rating_count,summary,url
209699,Angkor: Beginnings,2022-07-25,,"Linux, PC (Microsoft Windows), Mac",,,Angkor: Beginnings is a highly re-playable fantasy Match 3 with modern design and aesthetics. The game tells the story of a family trapped on an island with an active volcano. The game also includes mini games and puzzles for variety and extra fun!,https://www.igdb.com/games/angkor-beginnings
10280,Ether Vapor Remaster,2012-09-28,"Shooter, Indie, Arcade",PC (Microsoft Windows),80.0,0,"All hope seems to be lost for the country of Lydia in their war against Caldea, which has a huge advantage in numbers and technology. Into the midst of this war flies an unknown pilot in a prototype fighter... His agenda and the secret to the his awesome firepower will be revealed as he takes on overwhelming numbers of enemy fighters and massive bosses to reach his final objective. 
 
Ether Vapor Remaster is a cinematic 3D arcade shooter and visual treat from developer Edelweiss. Explosions, lasers, ships and backgrounds are breathtakingly rendered. The dynamic camera uses vertical, horizontal and cinematic chase cam views to switch up the action and highlight the drama. Use multi-lock-on to shoot tens of missiles at a time and even blow up an entire battleship in the challenging Bonus Zones.",https://www.igdb.com/games/ether-vapor-remaster
262483,Kitten Tales,2023-08-30,"Platform, Racing, Adventure, Indie",PC (Microsoft Windows),,,"Embark on an exciting quest in Kitten Tales, solve puzzles to find your mother in story mode, and challenge up to 10 players in online races and multiplayer challenges. Do you have what it takes to be the bravest cat?",https://www.igdb.com/games/kitten-tales
324850,Symble,2022-03-22,Puzzle,Web browser,,,"A code-cracking logic game, where players must guess a secret five letter word. Each guess reveals a set of three mystery symbols, and players must use their guesses to determine what each symbol represents in order to decode the secret word.",https://www.igdb.com/games/symble
345882,Prison Escape Simulator: Dig Out,2025-07-25,"Simulator, Adventure, Indie","PC (Microsoft Windows), Mac",,,"Too long in this prison, time to get out of here. Pull the carpet and start digging with a teaspoon. Watch out for the guard, sell him the junk you find. Trade toilet paper with the prisoners. Get better items and improve your stats. Expand the tunnel, use glow sticks and dynamite. Will you escape?",https://www.igdb.com/games/prison-escape-simulator-dig-out
101315,Streamers Company Tycoon,2019-03-13,Simulator,PC (Microsoft Windows),50.0,0,First online streamer agency in this country! A new company! Now face the whole country and recruit company manager!,https://www.igdb.com/games/streamers-company-tycoon--1
2552,Mad Max,2015-09-01,"Shooter, Racing, Adventure","PlayStation 4, Linux, PC (Microsoft Windows), Mac, Xbox One",75.25721353993715,537,"In Mad Max, the player takes on the role of titular character Mad Max; a dangerous melee fighter and can use his attacks to kill almost anyone. His weapon of choice is his shotgun. He is assisted by another man called Chumbucket. Chum mainly works with Max to build and upgrade the Magnum Opus vehicle.

Mad Max will feature a variety of weapons which Max can use to defeat enemies. Though the shotgun is Max's weapon of choice, ammo is scarce, and so melee options are the smarter way to go. The 'thunderstick' is an explosive weapon that can be lanced into an enemy's chest, crackling like a lit dynamite fuse before blowing the victim to smithereens. The Harpoon is also one of Max's favorite weapon though it can only be used in-vehicle with Chum riding along. Max's Magnum Opus can be combined with a speedy V12 engine and powerful ramming ability to destroy enemies's vehicles and weaponry. When simultaneously driving and aiming, the game enters slow-motion and allows you to toggle between targets. Not much is known about the vehicular combat and its features.

Mad Max will feature crafting system which can be used to craft new weapons and tools. Max's garage can also be used to change and modify the car's engines, chassis, wheels, body works including paint treatment and the “shell” of the auto-mobile and the car’s weight and attributes update accordingly. Max can also be upgraded though it's plans hasn't fully been implemented.

Many choices are given in the game, such as, either playing silently or aggressively. Max can also get guidance from Chum about how he can complete his objectives strategically. However, its largely up to the player how he can complete the objectives.",https://www.igdb.com/games/mad-max
28850,Alleykat,1986-12-31,"Shooter, Racing, Arcade",Commodore C64/128/MAX,60.0,5,"Alleykat is a vertically-scrolling racer with elements of a shoot-em up game.

The player, a speeder pilot, strives to become the Alleykat Champion by competing in eight space stadiums scattered around the galaxy. Different races like demolition derbies, time-trials, endurance epics and others feature all kinds of obstacles like rocks, pillars, bridges and hard walls, and several types of enemies race along.

The game also features a cooperative two-player-mode.",https://www.igdb.com/games/alleykat
41420,Wrecking Crew,1985-05-26,"Platform, Puzzle, Adventure, Arcade","Family Computer Disk System, Nintendo 3DS, Wii, Family Computer, Wii U, Game Boy Advance, Nintendo Entertainment System",58.21147491952444,25,"Wrecking Crew is a platform action game for one or two players. The player controls Mario (Player 2 as Luigi) working on a demolition site. The goal is to break down all of the stone walls on each stage. The game features a custom level maker, where players can make their own Wrecking Crew levels. The game had the ability to save those custom levels. However, the required peripherals (the keyboard and Data Recorder accessories) were released only in Japan.",https://www.igdb.com/games/wrecking-crew
81577,DWK 5: Hinter dem Horizont,2008-10-31,"Puzzle, Adventure",PC (Microsoft Windows),,,"DWK 5: Hinter dem Horizont is a traditional point & click adventure game based on the movie Die wilden Kerle 5: Hinter dem Horizont. The young soccer players Leon, Vanessa, Maxi and Raban are practising in the woods - but suddenly Leon disappears. Of course his friends search for him and suddenly arrive in the land of vampires...

The player alternately takes the control of the four protagonists and solves item based puzzles. To do so he explores his surroundings, takes everything he finds, talks with people and combines items with each other. In each scene the player can instantly switch between day and night which alters the persons he meet and the items he can interact with. When stuck the player has access to a hint system.",https://www.igdb.com/games/dwk-5-hinter-dem-horizont
214388,Coastline to Atmosphere,2006-07-23,Shooter,PC (Microsoft Windows),,,"Coastline to Atmosphere is a big Single Player Modification for Half-Life 2. It's actually 15 Single Player maps with a story that links them together.

Leon Stephan Brinkmann took about 1 year to create this. He's done an excelent job to create this. With new models, such as a Keycard model, Tree models, a new shiny metal texture. And new sounds from the games Medal of Honor, Call of Duty, Soldier of Fortune 2, Max Payne 2, Cold Winter and a whole lot of ambient sounds.",https://www.igdb.com/games/coastline-to-atmosphere
135791,Elliot,2020-07-19,"Platform, Adventure, Indie, Arcade","PlayStation 4, PC (Microsoft Windows), Xbox One, Nintendo Switch",,,"Elliot is a colourful 2D platformer inspired by 16-bit classics, with a touch of hardcore. Don't be misled by appearances: it's a colorful game, but really it's technicolor hell!",https://www.igdb.com/games/elliot
318630,Sonic Uprising,,Platform,PC (Microsoft Windows),,,"SONIC UPRISING is a 2D side-scrolling platform fan project led by bennascar and Team Giga-Drive. Uprising is inspired by the classic formula from the Mega Drive Era of Sonic the Hedgehog, expanding it by taking elements from various other titles in the series. The project's goal is to create a story inspired by SEGA's Sonic Forces, while also being able to tell a narrative that goes far beyond a simple reboot.",https://www.igdb.com/games/sonic-uprising
217250,Death of the Reprobate,2024-11-07,"Point-and-click, Adventure, Indie","Linux, PC (Microsoft Windows), Mac",,,"Explore a world built from the luscious landscapes, turbulent townscapes and preposterous portraits of real Renaissance paintings. Death of the Reprobate is a Rabelaisian point and click adventure from the creator of Four Last Things and The Procession to Calvary.",https://www.igdb.com/games/death-of-the-reprobate
939,Wizardry 8,2001-11-15,"Role-playing (RPG), Adventure","PC (Microsoft Windows), Mac",80.05474892926387,26,"The universe is in the throes of violent upheaval and change. Vast and mysterious forces are preparing for the final confrontation. A small group of heroes from distant lands must plunge into the heart of the maelstrom, to uncover long-forgotten secrets, and bring about a new era. Should they succeed, they will gain the powers of the gods themselves. If they fail, countless worlds will fall into the grip of darkness.

Wizardry 8 raises the standard for fantasy role-playing with a vengeance. Prepare yourself for a new level of excitement, immersiveness and depth that made role-playing games one of the best-selling, best-loved genres of all time.

Prepare to experience the culmination of a prestigious RPG series. Enter a vast world of intrigue and wonder. Unravel a gripping, non-linear storyline. Battle your way to victory using your swords, your magic, and your wits. Compete with rivals or align with allies as you struggle to ascend to the Cosmic Circle. Take the battle to the dreaded Dark Savant in Wizardry 8, the phenomenal conclusion to the Dark Savant trilogy, one of the most extensive and challenging stories ever told in classic role-playing games!",https://www.igdb.com/games/wizardry-8
103629,Ultimate Custom Night,2018-06-27,"Simulator, Strategy, Indie",PC (Microsoft Windows),70.01045764926522,34,"Welcome to the ultimate FNAF mashup, where you will once again be trapped alone in an office fending off killer animatronics! Featuring 50 selectable animatronic characters spanning seven Five Nights at Freddy's games, the options for customization are nearly endless. Mix and match any assortment of characters that you like, set their difficulty from 0-20, then jump right into the action! From your office desk, you will need to manage two side doors, two vents, as well as two air hoses, all of which lead directly into your office.

This time you will have to master other tools as well if you want to complete the ultimate challenges, tools such as the heater, A/C, a global music box, a power generator, and more. As if all of that weren't enough, you'll also need to set up laser traps in the vents, collect Faz-Coins, purchase items from the prize counter, and as always, keep a close eye on not one, but two, Pirate Cove curtains!",https://www.igdb.com/games/ultimate-custom-night
